artistID,tagID,name,number
72,18,Depeche Mode,160
72,18,Depeche Mode,160
72,61,Depeche Mode,160
72,16,Depeche Mode,160
72,18,Depeche Mode,160
72,19,Depeche Mode,160
72,25,Depeche Mode,160
72,39,Depeche Mode,160
72,74,Depeche Mode,160
72,187,Depeche Mode,160
72,195,Depeche Mode,160
72,199,Depeche Mode,160
72,210,Depeche Mode,160
72,285,Depeche Mode,160
72,309,Depeche Mode,160
72,352,Depeche Mode,160
72,447,Depeche Mode,160
72,494,Depeche Mode,160
72,495,Depeche Mode,160
72,496,Depeche Mode,160
72,497,Depeche Mode,160
72,498,Depeche Mode,160
72,499,Depeche Mode,160
72,500,Depeche Mode,160
72,503,Depeche Mode,160
72,506,Depeche Mode,160
72,507,Depeche Mode,160
72,508,Depeche Mode,160
72,510,Depeche Mode,160
72,511,Depeche Mode,160
72,512,Depeche Mode,160
72,514,Depeche Mode,160
72,515,Depeche Mode,160
72,18,Depeche Mode,160
72,25,Depeche Mode,160
72,74,Depeche Mode,160
72,16,Depeche Mode,160
72,74,Depeche Mode,160
72,18,Depeche Mode,160
72,24,Depeche Mode,160
72,25,Depeche Mode,160
72,73,Depeche Mode,160
72,352,Depeche Mode,160
72,719,Depeche Mode,160
72,18,Depeche Mode,160
72,187,Depeche Mode,160
72,213,Depeche Mode,160
72,238,Depeche Mode,160
72,370,Depeche Mode,160
72,793,Depeche Mode,160
72,799,Depeche Mode,160
72,802,Depeche Mode,160
72,807,Depeche Mode,160
72,812,Depeche Mode,160
72,16,Depeche Mode,160
72,17,Depeche Mode,160
72,18,Depeche Mode,160
72,25,Depeche Mode,160
72,56,Depeche Mode,160
72,74,Depeche Mode,160
72,79,Depeche Mode,160
72,195,Depeche Mode,160
72,209,Depeche Mode,160
72,213,Depeche Mode,160
72,230,Depeche Mode,160
72,233,Depeche Mode,160
72,238,Depeche Mode,160
72,352,Depeche Mode,160
72,395,Depeche Mode,160
72,426,Depeche Mode,160
72,508,Depeche Mode,160
72,514,Depeche Mode,160
72,662,Depeche Mode,160
72,801,Depeche Mode,160
72,825,Depeche Mode,160
72,831,Depeche Mode,160
72,832,Depeche Mode,160
72,833,Depeche Mode,160
72,837,Depeche Mode,160
72,838,Depeche Mode,160
72,840,Depeche Mode,160
72,841,Depeche Mode,160
72,844,Depeche Mode,160
72,16,Depeche Mode,160
72,18,Depeche Mode,160
72,885,Depeche Mode,160
72,889,Depeche Mode,160
72,891,Depeche Mode,160
72,895,Depeche Mode,160
72,896,Depeche Mode,160
72,899,Depeche Mode,160
72,901,Depeche Mode,160
72,907,Depeche Mode,160
72,919,Depeche Mode,160
72,16,Depeche Mode,160
72,18,Depeche Mode,160
72,79,Depeche Mode,160
72,207,Depeche Mode,160
