artistID,weight_sum
1,771
2,8012
3,775
4,563
5,913
6,5080
7,96201
8,10791
9,9621
10,4067
11,1992
12,9564
13,2376
15,8963
16,1381
17,1780
18,3820
19,8685
20,60
21,110
22,58
23,1699
24,290
25,15166
26,558
27,5076
28,2109
30,38949
31,2134
32,9256
34,2887
36,8570
37,978
38,541
39,13816
40,4561
41,2355
43,663
44,155
45,29358
46,364
47,1309
48,428
49,1519
50,332
51,348919
52,18787
53,44230
54,15927
55,449292
56,176043
57,15611
58,54597
59,67259
60,4194
61,12833
62,5491
63,77046
64,47993
65,330757
66,11316
67,921198
68,9357
69,19391
70,44852
71,39172
72,1301308
73,3622
74,2547
75,11768
76,10949
77,29944
78,2281
79,1990
80,7853
81,43961
82,34449
83,1792
84,18136
85,10998
86,24544
87,1559
88,69629
89,1291387
90,3801
91,7163
92,1411
93,14259
94,1575
95,4099
96,12008
97,40042
98,19647
99,18793
100,7218
101,14907
102,662
103,6495
104,431
105,403
106,354
107,20392
108,236
109,215
110,215
111,212
112,193
113,755
114,167
115,163
116,154
117,151
118,142
119,142
120,805
121,644
122,108
123,104
124,99
125,98
126,2970
127,89
128,89
129,86
130,85
131,84
132,91
133,83
134,77
135,77
136,76
137,1030
138,1305
139,72
140,71
141,1063
142,70
143,70
144,69
145,68
146,67
147,67
148,239
149,66
150,65
151,5831
152,88594
153,20203
154,385306
155,54825
156,3802
157,296882
158,729
159,151103
160,712
161,97089
162,32173
163,466104
164,455
165,1198
166,31367
167,49521
168,404
169,384
170,16324
171,17561
172,46606
173,245878
174,15030
175,3217
176,24799
177,284
178,4931
179,368
180,20046
181,16937
182,75804
183,8747
184,23910
185,2653
186,15113
187,205195
188,79847
189,11728
190,485076
191,67187
192,34976
193,18280
194,4670
195,113631
196,37812
197,41316
198,277397
199,62735
200,4501
201,8066
202,12799
203,318221
204,46061
205,11918
206,37576
207,288520
208,21160
209,159733
210,37500
211,14090
212,65145
213,395
214,1901
215,19999
216,4116
217,100298
218,1383
219,5203
220,116768
221,34165
222,40203
223,30543
224,191
225,81822
226,69833
227,662116
228,148452
229,191979
230,155321
231,17806
232,3619
233,160317
234,190232
235,11149
236,5264
237,17674
238,42195
239,19342
240,1266
241,16307
242,37
243,34
244,33
245,11867
246,13716
247,1472
248,2413
249,3313
250,24482
251,32020
252,664
253,8728
254,20
255,20
256,4021
257,384307
258,9498
259,600
260,451
261,11769
262,18404
263,1014
264,17
265,83373
266,8316
267,23652
268,1417
269,219
270,5787
271,6426
272,174
273,380
274,15
275,116
276,9652
277,14
278,14813
279,74834
280,14
281,14
282,682
283,20662
284,473
285,120665
286,1004
287,8630
288,905423
289,2393140
290,72962
291,253027
292,1058405
293,93828
294,162288
295,499318
296,59353
297,15634
298,129352
299,144710
300,532545
301,91066
302,207761
303,2622
304,86342
305,26762
306,188634
307,17200
308,20231
309,14522
310,110218
311,39111
312,15405
313,3985
314,67979
315,3071
316,117229
317,26534
318,123682
319,873
320,26323
321,61849
322,14610
323,54909
324,55463
325,166644
326,23611
327,33055
328,63582
329,91169
330,27607
331,94501
332,24585
333,525844
334,8372
335,2581
336,1735
337,1407
338,1157
339,819
340,41552
341,794
342,40510
343,780
344,525292
345,527
346,3322
347,633
348,1640
349,130855
350,12292
351,739
352,67822
353,913
354,5921
355,40288
356,16612
357,3439
358,280
359,15533
360,33380
361,253
362,24133
363,185
364,15591
365,177
366,39882
367,25855
368,1444
369,6937
370,43458
371,30524
372,1069
373,729
374,31157
375,60167
376,3185
377,265362
378,513476
379,5981
380,7788
381,1004
382,1258
383,31078
384,2831
385,595
386,35347
387,430
388,7379
389,25020
390,6520
391,520
392,364
393,8019
394,1661
395,1866
396,10086
397,5901
398,306
399,5229
400,13418
401,1200
402,280
403,36370
404,918
405,17190
406,1543
407,28823
408,6867
409,4596
410,976
411,237
412,102334
413,3464
414,229
415,228
416,49647
417,1974
418,133955
419,7901
420,15615
421,9706
422,5377
423,42305
424,130227
425,53054
426,16506
427,7522
428,37532
429,91740
430,45886
431,2539
432,30083
433,22039
434,11859
435,1267
436,88270
437,25748
438,11314
439,100819
440,40234
441,99296
442,1478
443,8167
444,22661
445,8673
446,1938
447,11518
448,1431
449,177
450,16857
451,2241
452,1260
453,37287
454,6986
455,153101
456,64596
457,6007
458,200027
459,12715
460,11251
461,489065
462,15267
463,8120
464,94179
465,38190
466,384405
467,15661
468,44673
469,4103
470,43710
471,16155
472,29041
473,1125
474,5585
475,321011
476,8961
477,808
478,2885
479,18450
480,622
481,44240
482,4315
483,597
484,14332
485,25380
486,485532
487,68917
488,68306
489,27179
490,19736
491,7834
492,19454
493,46295
494,10180
495,4053
496,7112
497,43559
498,963449
499,75634
500,51566
501,24781
502,4378
503,237148
504,71488
505,2796
506,35700
507,23743
508,1676
509,1600
510,16056
511,493024
512,62933
513,1250
514,9409
515,9786
516,10234
517,58163
518,78342
519,16794
520,1267
521,6881
522,8135
523,85160
524,46370
525,65902
526,34090
527,50645
528,58312
529,2264
530,9185
531,15014
532,34002
533,165975
534,38608
535,30324
536,70828
537,61679
538,57009
539,7833
540,79486
541,3236
542,50241
543,73597
544,115538
545,26168
546,22518
547,32234
548,48631
549,2207
550,908
551,850
552,849
553,843
554,16810
555,831
556,812
557,809
558,772
