userID,artistID,name
2,52,Morcheeba
43,52,Morcheeba
255,52,Morcheeba
283,52,Morcheeba
320,52,Morcheeba
357,52,Morcheeba
364,52,Morcheeba
541,52,Morcheeba
545,52,Morcheeba
606,52,Morcheeba
697,52,Morcheeba
837,52,Morcheeba
922,52,Morcheeba
1029,52,Morcheeba
1103,52,Morcheeba
1108,52,Morcheeba
1171,52,Morcheeba
1309,52,Morcheeba
1342,52,Morcheeba
1433,52,Morcheeba
1454,52,Morcheeba
1557,52,Morcheeba
1625,52,Morcheeba
1637,52,Morcheeba
1700,52,Morcheeba
1801,52,Morcheeba
1904,52,Morcheeba
2019,52,Morcheeba
2091,52,Morcheeba
2,63,Enigma
43,63,Enigma
62,63,Enigma
124,63,Enigma
210,63,Enigma
264,63,Enigma
395,63,Enigma
396,63,Enigma
439,63,Enigma
575,63,Enigma
697,63,Enigma
698,63,Enigma
743,63,Enigma
888,63,Enigma
932,63,Enigma
972,63,Enigma
1003,63,Enigma
1029,63,Enigma
1089,63,Enigma
1103,63,Enigma
1104,63,Enigma
1171,63,Enigma
1202,63,Enigma
1230,63,Enigma
1249,63,Enigma
1275,63,Enigma
1342,63,Enigma
1387,63,Enigma
1514,63,Enigma
1545,63,Enigma
1625,63,Enigma
1629,63,Enigma
1929,63,Enigma
1946,63,Enigma
1989,63,Enigma
2030,63,Enigma
2068,63,Enigma
2096,63,Enigma
2,73,Caf®¶ Del Mar
61,73,Caf®¶ Del Mar
283,73,Caf®¶ Del Mar
1625,73,Caf®¶ Del Mar
1881,73,Caf®¶ Del Mar
1989,73,Caf®¶ Del Mar
2030,73,Caf®¶ Del Mar
2,94,Ministry of Sound
190,94,Ministry of Sound
2,96,Fleetwood Mac
90,96,Fleetwood Mac
117,96,Fleetwood Mac
153,96,Fleetwood Mac
224,96,Fleetwood Mac
264,96,Fleetwood Mac
364,96,Fleetwood Mac
608,96,Fleetwood Mac
699,96,Fleetwood Mac
979,96,Fleetwood Mac
1007,96,Fleetwood Mac
1029,96,Fleetwood Mac
1086,96,Fleetwood Mac
1191,96,Fleetwood Mac
1210,96,Fleetwood Mac
1223,96,Fleetwood Mac
1271,96,Fleetwood Mac
1275,96,Fleetwood Mac
1316,96,Fleetwood Mac
1342,96,Fleetwood Mac
1364,96,Fleetwood Mac
1846,96,Fleetwood Mac
1958,96,Fleetwood Mac
2096,96,Fleetwood Mac
2,995,China Crisis
73,995,China Crisis
117,995,China Crisis
224,995,China Crisis
423,995,China Crisis
683,995,China Crisis
699,995,China Crisis
1029,995,China Crisis
1038,995,China Crisis
1929,995,China Crisis
2,3894,Colin Newman
2080,3894,Colin Newman
2,6160,Loscil
217,6160,Loscil
837,6160,Loscil
1191,6160,Loscil
1202,6160,Loscil
1625,6160,Loscil
1642,6160,Loscil
1700,6160,Loscil
1885,6160,Loscil
2,6177,Chicane
117,6177,Chicane
149,6177,Chicane
357,6177,Chicane
697,6177,Chicane
888,6177,Chicane
922,6177,Chicane
1191,6177,Chicane
1202,6177,Chicane
1233,6177,Chicane
1383,6177,Chicane
1433,6177,Chicane
1454,6177,Chicane
1585,6177,Chicane
1625,6177,Chicane
2,9322,Sigue Sigue Sputnik
66,9322,Sigue Sigue Sputnik
73,9322,Sigue Sigue Sputnik
1202,9322,Sigue Sigue Sputnik
1209,9322,Sigue Sigue Sputnik
1327,9322,Sigue Sigue Sputnik
1541,9322,Sigue Sigue Sputnik
1618,9322,Sigue Sigue Sputnik
1929,9322,Sigue Sigue Sputnik
2014,9322,Sigue Sigue Sputnik
3,101,Pleq
3,102,Segue
3,106,Pleq & Segue
3,108,Magnitophono
3,122,Manekinekod
3,128,strom noir
3,130,Philippe Lamy
3,134,Big Brotherz
3,137,Worm Is Green
364,137,Worm Is Green
813,137,Worm Is Green
837,137,Worm Is Green
919,137,Worm Is Green
922,137,Worm Is Green
2030,137,Worm Is Green
4,51,Duran Duran
43,51,Duran Duran
62,51,Duran Duran
63,51,Duran Duran
66,51,Duran Duran
73,51,Duran Duran
90,51,Duran Duran
96,51,Duran Duran
117,51,Duran Duran
156,51,Duran Duran
176,51,Duran Duran
196,51,Duran Duran
224,51,Duran Duran
225,51,Duran Duran
264,51,Duran Duran
290,51,Duran Duran
357,51,Duran Duran
359,51,Duran Duran
374,51,Duran Duran
387,51,Duran Duran
396,51,Duran Duran
423,51,Duran Duran
428,51,Duran Duran
430,51,Duran Duran
446,51,Duran Duran
480,51,Duran Duran
484,51,Duran Duran
488,51,Duran Duran
515,51,Duran Duran
546,51,Duran Duran
592,51,Duran Duran
643,51,Duran Duran
656,51,Duran Duran
683,51,Duran Duran
692,51,Duran Duran
694,51,Duran Duran
699,51,Duran Duran
714,51,Duran Duran
759,51,Duran Duran
761,51,Duran Duran
779,51,Duran Duran
788,51,Duran Duran
791,51,Duran Duran
898,51,Duran Duran
904,51,Duran Duran
979,51,Duran Duran
1003,51,Duran Duran
1007,51,Duran Duran
1010,51,Duran Duran
1029,51,Duran Duran
1038,51,Duran Duran
1074,51,Duran Duran
1086,51,Duran Duran
1191,51,Duran Duran
1192,51,Duran Duran
1202,51,Duran Duran
1209,51,Duran Duran
1210,51,Duran Duran
1223,51,Duran Duran
1235,51,Duran Duran
1267,51,Duran Duran
1275,51,Duran Duran
1298,51,Duran Duran
1327,51,Duran Duran
1372,51,Duran Duran
1380,51,Duran Duran
1427,51,Duran Duran
1433,51,Duran Duran
1454,51,Duran Duran
1486,51,Duran Duran
1522,51,Duran Duran
1585,51,Duran Duran
1625,51,Duran Duran
1629,51,Duran Duran
1643,51,Duran Duran
1679,51,Duran Duran
1708,51,Duran Duran
1845,51,Duran Duran
1866,51,Duran Duran
1881,51,Duran Duran
1900,51,Duran Duran
1973,51,Duran Duran
1974,51,Duran Duran
2014,51,Duran Duran
2036,51,Duran Duran
2055,51,Duran Duran
2096,51,Duran Duran
4,53,Air
5,53,Air
62,53,Air
320,53,Air
370,53,Air
387,53,Air
460,53,Air
490,53,Air
565,53,Air
643,53,Air
647,53,Air
658,53,Air
697,53,Air
699,53,Air
756,53,Air
765,53,Air
813,53,Air
837,53,Air
919,53,Air
922,53,Air
997,53,Air
1021,53,Air
1049,53,Air
1054,53,Air
1060,53,Air
1086,53,Air
1098,53,Air
1103,53,Air
1161,53,Air
1171,53,Air
1191,53,Air
1202,53,Air
1223,53,Air
1309,53,Air
1342,53,Air
1432,53,Air
1486,53,Air
1496,53,Air
1547,53,Air
1585,53,Air
1625,53,Air
1637,53,Air
1672,53,Air
1674,53,Air
1700,53,Air
1728,53,Air
1730,53,Air
1832,53,Air
1838,53,Air
1844,53,Air
1875,53,Air
1879,53,Air
1885,53,Air
1904,53,Air
1907,53,Air
1926,53,Air
1958,53,Air
2003,53,Air
2030,53,Air
2096,53,Air
4,64,R?yksopp
40,64,R?yksopp
43,64,R?yksopp
62,64,R?yksopp
159,64,R?yksopp
264,64,R?yksopp
320,64,R?yksopp
336,64,R?yksopp
357,64,R?yksopp
387,64,R?yksopp
455,64,R?yksopp
513,64,R?yksopp
530,64,R?yksopp
544,64,R?yksopp
546,64,R?yksopp
565,64,R?yksopp
601,64,R?yksopp
658,64,R?yksopp
686,64,R?yksopp
691,64,R?yksopp
697,64,R?yksopp
699,64,R?yksopp
714,64,R?yksopp
759,64,R?yksopp
837,64,R?yksopp
919,64,R?yksopp
922,64,R?yksopp
1029,64,R?yksopp
1082,64,R?yksopp
1084,64,R?yksopp
1103,64,R?yksopp
1164,64,R?yksopp
1185,64,R?yksopp
1190,64,R?yksopp
1191,64,R?yksopp
1194,64,R?yksopp
1209,64,R?yksopp
1233,64,R?yksopp
1350,64,R?yksopp
1432,64,R?yksopp
1433,64,R?yksopp
1463,64,R?yksopp
1505,64,R?yksopp
1541,64,R?yksopp
1585,64,R?yksopp
1625,64,R?yksopp
1630,64,R?yksopp
1669,64,R?yksopp
1700,64,R?yksopp
1710,64,R?yksopp
1730,64,R?yksopp
1832,64,R?yksopp
1861,64,R?yksopp
1865,64,R?yksopp
1926,64,R?yksopp
1931,64,R?yksopp
1973,64,R?yksopp
2003,64,R?yksopp
2030,64,R?yksopp
2096,64,R?yksopp
4,70,Moby
43,70,Moby
62,70,Moby
124,70,Moby
137,70,Moby
159,70,Moby
184,70,Moby
229,70,Moby
236,70,Moby
264,70,Moby
283,70,Moby
336,70,Moby
357,70,Moby
387,70,Moby
396,70,Moby
447,70,Moby
474,70,Moby
480,70,Moby
541,70,Moby
543,70,Moby
601,70,Moby
658,70,Moby
670,70,Moby
697,70,Moby
698,70,Moby
699,70,Moby
765,70,Moby
859,70,Moby
919,70,Moby
922,70,Moby
994,70,Moby
1021,70,Moby
1029,70,Moby
1103,70,Moby
1171,70,Moby
1191,70,Moby
1202,70,Moby
1249,70,Moby
1337,70,Moby
1349,70,Moby
1432,70,Moby
1470,70,Moby
1605,70,Moby
1635,70,Moby
1637,70,Moby
1664,70,Moby
1669,70,Moby
1672,70,Moby
1679,70,Moby
1708,70,Moby
1728,70,Moby
1730,70,Moby
1832,70,Moby
1885,70,Moby
1922,70,Moby
1995,70,Moby
2030,70,Moby
2096,70,Moby
4,72,Depeche Mode
12,72,Depeche Mode
23,72,Depeche Mode
31,72,Depeche Mode
40,72,Depeche Mode
43,72,Depeche Mode
49,72,Depeche Mode
59,72,Depeche Mode
62,72,Depeche Mode
63,72,Depeche Mode
66,72,Depeche Mode
99,72,Depeche Mode
104,72,Depeche Mode
117,72,Depeche Mode
124,72,Depeche Mode
152,72,Depeche Mode
155,72,Depeche Mode
159,72,Depeche Mode
170,72,Depeche Mode
176,72,Depeche Mode
183,72,Depeche Mode
193,72,Depeche Mode
210,72,Depeche Mode
211,72,Depeche Mode
216,72,Depeche Mode
218,72,Depeche Mode
224,72,Depeche Mode
225,72,Depeche Mode
229,72,Depeche Mode
236,72,Depeche Mode
243,72,Depeche Mode
264,72,Depeche Mode
274,72,Depeche Mode
304,72,Depeche Mode
306,72,Depeche Mode
316,72,Depeche Mode
317,72,Depeche Mode
357,72,Depeche Mode
370,72,Depeche Mode
371,72,Depeche Mode
396,72,Depeche Mode
423,72,Depeche Mode
428,72,Depeche Mode
430,72,Depeche Mode
436,72,Depeche Mode
446,72,Depeche Mode
447,72,Depeche Mode
474,72,Depeche Mode
480,72,Depeche Mode
493,72,Depeche Mode
499,72,Depeche Mode
507,72,Depeche Mode
515,72,Depeche Mode
516,72,Depeche Mode
520,72,Depeche Mode
530,72,Depeche Mode
539,72,Depeche Mode
543,72,Depeche Mode
565,72,Depeche Mode
577,72,Depeche Mode
596,72,Depeche Mode
606,72,Depeche Mode
624,72,Depeche Mode
643,72,Depeche Mode
656,72,Depeche Mode
658,72,Depeche Mode
665,72,Depeche Mode
686,72,Depeche Mode
694,72,Depeche Mode
699,72,Depeche Mode
714,72,Depeche Mode
762,72,Depeche Mode
765,72,Depeche Mode
767,72,Depeche Mode
779,72,Depeche Mode
812,72,Depeche Mode
859,72,Depeche Mode
893,72,Depeche Mode
904,72,Depeche Mode
922,72,Depeche Mode
926,72,Depeche Mode
935,72,Depeche Mode
954,72,Depeche Mode
960,72,Depeche Mode
977,72,Depeche Mode
994,72,Depeche Mode
1010,72,Depeche Mode
1021,72,Depeche Mode
1029,72,Depeche Mode
1038,72,Depeche Mode
1054,72,Depeche Mode
1074,72,Depeche Mode
1086,72,Depeche Mode
1099,72,Depeche Mode
1103,72,Depeche Mode
1149,72,Depeche Mode
1156,72,Depeche Mode
1163,72,Depeche Mode
1165,72,Depeche Mode
